NUMBER, DRIVER_NUMBER, LAP_NUMBER,LAP_TIME, LAP_IMPROVEMENT, S1, S1_IMPROVEMENT, S2, S2_IMPROVEMENT, S3, S3_IMPROVEMENT, KPH, ELAPSED, HOUR,S1_LARGE,S2_LARGE,S3_LARGE,DRIVER_NAME,PIT_TIME,GROUP,TEAM,POWER,LOCATION,EVENT
10,1,1,92,0,343.3,0,35.427,0,43.313,0,28.8,422,1322,343.3,35.4,43.3,SB,314.7,,JR,,Location 2,Free Practice 2
10,1,2,87,2,25.674,2,33.399,2,41.922,2,120.5,523,1423,25.7,33.4,41.9,SB,0,,JR,,Location 2,Free Practice 2
10,1,3,73,0,28.129,0,34.091,0,57.248,0,101.9,642.5,1542.5,28.1,34.1,57.2,SB,0,,JR,,Location 2,Free Practice 2
11,1,1,73,0,65,0,38.416,0,56.833,0,75.9,160.2,1060.2,65,38.4,56.8,LGRA,33,,AD,,Location 2,Free Practice 2
11,1,2,73,0,28.013,0,36.743,0,44.716,0,111.2,269.7,1169.7,28,36.7,44.7,LGRA,0,,AD,,Location 2,Free Practice 2
11,1,3,101,2,25.851,2,33.374,2,42.466,2,119.7,371.4,1271.4,25.9,33.4,42.5,LGRA,0,,AD,,Location 2,Free Practice 2
11,1,4,105,0,27.918,0,34.646,0,48.038,0,110,482,1382,27.9,34.6,48,LGRA,0,,AD,,Location 2,Free Practice 2
13,1,1,84,0,46.912,0,42.191,0,49.395,0,87.9,138.5,1038.5,46.9,42.2,49.4,ACO,12.7,,DSo,,Location 2,Free Practice 2
13,1,2,85,0,25.727,0,33.385,0,42.392,0,119.9,240,1140,25.7,33.4,42.4,ACO,0,,DSo,,Location 2,Free Practice 2
13,1,3,101,0,29.068,0,52.345,0,63.7,0,83.8,385.1,1285.1,29.1,52.3,63.7,ACO,0,,DSo,,Location 2,Free Practice 2
13,1,4,103,2,25.544,2,33.219,2,42.322,2,120.4,486.2,1386.2,25.5,33.2,42.3,ACO,0,,DSo,,Location 2,Free Practice 2
13,1,5,78,0,39.51,0,45.266,0,58.077,0,85.2,629.1,1529.1,39.5,45.3,58.1,ACO,0,,DSo,,Location 2,Free Practice 2
17,1,1,106,0,52.884,0,41.444,0,55.136,0,81.4,149.5,1049.5,52.9,41.4,55.1,NVR,20.3,,ME,235,Location 2,Free Practice 2
17,1,2,118,2,25.313,2,32.681,2,41.715,2,122,249.2,1149.2,25.3,32.7,41.7,NVR,0,,ME,250,Location 2,Free Practice 2
17,1,3,92,0,35.204,0,40.576,0,50.211,0,96.6,375.2,1275.2,35.2,40.6,50.2,NVR,0,,ME,235,Location 2,Free Practice 2
17,1,4,89,0,26.527,0,34.53,0,43.179,0,116.7,479.4,1379.4,26.5,34.5,43.2,NVR,0,,ME,,Location 2,Free Practice 2
17,1,5,80,0,26.387,0,34.474,0,43.214,0,116.9,583.5,1483.5,26.4,34.5,43.2,NVR,0,,ME,,Location 2,Free Practice 2
17,1,6,82,0,26.494,0,63.1,0,86.7,0,69,759.8,1659.8,26.5,63.1,86.7,NVR,0,,ME,,Location 2,Free Practice 2
20,1,1,88,0,70.2,0,39.722,0,52.226,0,75,162.2,1062.2,70.2,39.7,52.2,MEV,35.9,,JE,,Location 2,Free Practice 2
20,1,2,105,0,27.844,0,35.704,0,46.69,0,110.4,272.4,1172.4,27.8,35.7,46.7,MEV,0,,JE,235,Location 2,Free Practice 2
20,1,3,104,2,25.129,2,32.851,2,42.252,2,121.4,372.6,1272.6,25.1,32.9,42.3,MEV,0,,JE,235,Location 2,Free Practice 2
20,1,4,94,0,25.674,0,39.811,0,52.02,0,103.6,490.1,1390.1,25.7,39.8,52,MEV,0,,JE,235,Location 2,Free Practice 2
20,1,5,76,0,25.65,0,33.659,0,42.323,0,119.7,591.8,1491.8,25.6,33.7,42.3,MEV,0,,JE,,Location 2,Free Practice 2
20,1,6,104,0,28.472,0,83.9,0,87.3,0,60.9,791.4,1691.4,28.5,83.9,87.3,MEV,0,,JE,,Location 2,Free Practice 2
22,1,1,75,0,47.409,0,42.337,0,49.873,0,87.2,139.6,1039.6,47.4,42.3,49.9,OROWL,15.8,,N ,,Location 2,Free Practice 2
22,1,2,71,0,27.728,0,38.179,0,49.605,0,105.3,255.1,1155.1,27.7,38.2,49.6,OROWL,0,,N ,235,Location 2,Free Practice 2
22,1,3,123,2,25.435,2,32.779,2,41.71,2,121.8,355.1,1255.1,25.4,32.8,41.7,OROWL,0,,N ,250,Location 2,Free Practice 2
22,1,4,102,0,26.8,0,34.862,0,43.911,0,115.3,460.6,1360.6,26.8,34.9,43.9,OROWL,0,,N ,235,Location 2,Free Practice 2
22,1,5,92,0,26.84,0,34.796,0,43.534,0,115.7,565.8,1465.8,26.8,34.8,43.5,OROWL,0,,N ,,Location 2,Free Practice 2
22,1,6,182,0,26.77,0,42.221,0,87.5,0,77.8,722.3,1622.3,26.8,42.2,87.5,OROWL,0,,N ,,Location 2,Free Practice 2
23,1,1,93,0,47.908,0,42.489,0,49.993,0,86.7,140.4,1040.4,47.9,42.5,50,SBU,15.1,,Nt,,Location 2,Free Practice 2
23,1,2,76,0,28.067,0,38.914,0,48.497,0,105.4,255.9,1155.9,28.1,38.9,48.5,SBU,0,,Nt,,Location 2,Free Practice 2
23,1,3,72,2,25.808,2,33.371,2,42.372,2,119.8,357.4,1257.4,25.8,33.4,42.4,SBU,0,,Nt,,Location 2,Free Practice 2
23,1,4,92,0,26.1,0,40.655,0,47.849,0,106.2,472,1372,26.1,40.7,47.8,SBU,0,,Nt,,Location 2,Free Practice 2
23,1,5,89,0,25.814,0,33.602,0,42.678,0,119.2,574.1,1474.1,25.8,33.6,42.7,SBU,0,,Nt,,Location 2,Free Practice 2
23,1,6,69,0,28.306,0,47.811,0,86.6,0,74.8,736.8,1636.8,28.3,47.8,86.6,SBU,0,,Nt,,Location 2,Free Practice 2
28,1,1,102,0,124,0,36.698,0,46.196,0,58.8,206.9,1106.9,124,36.7,46.2,MNT,91.6,,BMWl,235,Location 2,Free Practice 2
28,1,2,108,3,25.134,2,32.772,2,41.611,3,122.3,306.4,1206.4,25.1,32.8,41.6,MNT,0,,BMWl,250,Location 2,Free Practice 2
28,1,3,69,0,25.42,0,33.683,0,42.495,0,119.8,408,1308,25.4,33.7,42.5,MNT,0,,BMWl,235,Location 2,Free Practice 2
28,1,4,130,0,32.472,0,44.432,0,50.576,0,95.5,535.5,1435.5,32.5,44.4,50.6,MNT,0,,BMWl,,Location 2,Free Practice 2
28,1,5,99,0,25.844,0,33.574,0,62.3,0,99.9,657.3,1557.3,25.8,33.6,62.3,MNT,0,,BMWl,,Location 2,Free Practice 2
29,1,1,98,0,88.6,0,37.041,0,45.745,0,71,171.4,1071.4,88.6,37,45.7,AS,57.8,,MAHINDRAd,,Location 2,Free Practice 2
29,1,2,69,0,27.756,0,36.923,0,47.285,0,108.7,283.3,1183.3,27.8,36.9,47.3,AS,0,,MAHINDRAd,,Location 2,Free Practice 2
29,1,3,71,2,26.204,2,33.651,2,43.407,0,117.8,386.6,1286.6,26.2,33.7,43.4,AS,0,,MAHINDRAd,,Location 2,Free Practice 2
29,1,4,93,0,26.983,0,34.723,0,43.658,0,115.5,491.9,1391.9,27,34.7,43.7,AS,0,,MAHINDRAd,,Location 2,Free Practice 2
29,1,5,98,0,26.633,0,34.779,0,43.317,2,116.2,596.7,1496.7,26.6,34.8,43.3,AS,0,,MAHINDRAd,,Location 2,Free Practice 2
29,1,6,80,0,36.344,0,82.7,0,86.9,0,59.1,802.6,1702.6,36.3,82.7,86.9,AS,0,,MAHINDRAd,,Location 2,Free Practice 2
33,1,1,77,0,67,0,38.091,0,56.223,0,75.4,161.3,1061.3,67,38.1,56.2,RR,34.5,,AR,,Location 2,Free Practice 2
33,1,2,69,0,26.736,0,34.319,0,43.846,0,116,266.2,1166.2,26.7,34.3,43.8,RR,0,,AR,,Location 2,Free Practice 2
33,1,3,85,0,26.681,0,34.394,0,43.297,0,116.6,370.6,1270.6,26.7,34.4,43.3,RR,0,,AR,,Location 2,Free Practice 2
33,1,4,48,2,25.924,0,33.538,2,42.565,2,119.3,472.6,1372.6,25.9,33.5,42.6,RR,0,,AR,,Location 2,Free Practice 2
