NUMBER, LAP_NUMBER,LAP_TIME, S1, S2, S3, KPH, ELAPSED, HOUR,S1_LARGE,S2_LARGE,S3_LARGE,DRIVER_NAME,TEAM,POWER,LOCATION,EVENT
10,1,92,343.3,35.427,43.313,28.8,422,1322,343.3,35.4,43.3,SB,JR,235,Location 2,Free Practice 2
10,2,87,25.674,33.399,41.922,120.5,523,1423,25.7,33.4,41.9,SB,JR,235,Location 2,Free Practice 2
10,3,73,28.129,34.091,57.248,101.9,642.5,1542.5,28.1,34.1,57.2,SB,JR,235,Location 2,Free Practice 2
11,1,73,65,38.416,56.833,75.9,160.2,1060.2,65,38.4,56.8,LGRA,AD,235,Location 2,Free Practice 2
11,2,73,28.013,36.743,44.716,111.2,269.7,1169.7,28,36.7,44.7,LGRA,AD,235,Location 2,Free Practice 2
11,3,101,25.851,33.374,42.466,119.7,371.4,1271.4,25.9,33.4,42.5,LGRA,AD,235,Location 2,Free Practice 2
11,4,105,27.918,34.646,48.038,110,482,1382,27.9,34.6,48,LGRA,AD,235,Location 2,Free Practice 2
13,1,84,46.912,42.191,49.395,87.9,138.5,1038.5,46.9,42.2,49.4,ACO,DSo,235,Location 2,Free Practice 2
13,2,85,25.727,33.385,42.392,119.9,240,1140,25.7,33.4,42.4,ACO,DSo,235,Location 2,Free Practice 2
13,3,101,29.068,52.345,63.7,83.8,385.1,1285.1,29.1,52.3,63.7,ACO,DSo,235,Location 2,Free Practice 2
13,4,103,25.544,33.219,42.322,120.4,486.2,1386.2,25.5,33.2,42.3,ACO,DSo,235,Location 2,Free Practice 2
13,5,78,39.51,45.266,58.077,85.2,629.1,1529.1,39.5,45.3,58.1,ACO,DSo,235,Location 2,Free Practice 2
17,1,106,52.884,41.444,55.136,81.4,149.5,1049.5,52.9,41.4,55.1,NVR,ME,235,Location 2,Free Practice 2
17,2,118,25.313,32.681,41.715,122,249.2,1149.2,25.3,32.7,41.7,NVR,ME,250,Location 2,Free Practice 2
17,3,92,35.204,40.576,50.211,96.6,375.2,1275.2,35.2,40.6,50.2,NVR,ME,235,Location 2,Free Practice 2
17,4,89,26.527,34.53,43.179,116.7,479.4,1379.4,26.5,34.5,43.2,NVR,ME,235,Location 2,Free Practice 2
17,5,80,26.387,34.474,43.214,116.9,583.5,1483.5,26.4,34.5,43.2,NVR,ME,235,Location 2,Free Practice 2
17,6,82,26.494,63.1,86.7,69,759.8,1659.8,26.5,63.1,86.7,NVR,ME,235,Location 2,Free Practice 2
20,1,88,70.2,39.722,52.226,75,162.2,1062.2,70.2,39.7,52.2,MEV,JE,235,Location 2,Free Practice 2
20,2,105,27.844,35.704,46.69,110.4,272.4,1172.4,27.8,35.7,46.7,MEV,JE,235,Location 2,Free Practice 2
20,3,104,25.129,32.851,42.252,121.4,372.6,1272.6,25.1,32.9,42.3,MEV,JE,235,Location 2,Free Practice 2
20,4,94,25.674,39.811,52.02,103.6,490.1,1390.1,25.7,39.8,52,MEV,JE,235,Location 2,Free Practice 2
20,5,76,25.65,33.659,42.323,119.7,591.8,1491.8,25.6,33.7,42.3,MEV,JE,235,Location 2,Free Practice 2
20,6,104,28.472,83.9,87.3,60.9,791.4,1691.4,28.5,83.9,87.3,MEV,JE,235,Location 2,Free Practice 2
22,1,75,47.409,42.337,49.873,87.2,139.6,1039.6,47.4,42.3,49.9,OROWL,N ,235,Location 2,Free Practice 2
22,2,71,27.728,38.179,49.605,105.3,255.1,1155.1,27.7,38.2,49.6,OROWL,N ,235,Location 2,Free Practice 2
22,3,123,25.435,32.779,41.71,121.8,355.1,1255.1,25.4,32.8,41.7,OROWL,N ,250,Location 2,Free Practice 2
22,4,102,26.8,34.862,43.911,115.3,460.6,1360.6,26.8,34.9,43.9,OROWL,N ,235,Location 2,Free Practice 2
22,5,92,26.84,34.796,43.534,115.7,565.8,1465.8,26.8,34.8,43.5,OROWL,N ,235,Location 2,Free Practice 2
22,6,182,26.77,42.221,87.5,77.8,722.3,1622.3,26.8,42.2,87.5,OROWL,N ,235,Location 2,Free Practice 2
23,1,93,47.908,42.489,49.993,86.7,140.4,1040.4,47.9,42.5,50,SBU,Nt,235,Location 2,Free Practice 2
23,2,76,28.067,38.914,48.497,105.4,255.9,1155.9,28.1,38.9,48.5,SBU,Nt,235,Location 2,Free Practice 2
23,3,72,25.808,33.371,42.372,119.8,357.4,1257.4,25.8,33.4,42.4,SBU,Nt,235,Location 2,Free Practice 2
23,4,92,26.1,40.655,47.849,106.2,472,1372,26.1,40.7,47.8,SBU,Nt,235,Location 2,Free Practice 2
23,5,89,25.814,33.602,42.678,119.2,574.1,1474.1,25.8,33.6,42.7,SBU,Nt,235,Location 2,Free Practice 2
23,6,69,28.306,47.811,86.6,74.8,736.8,1636.8,28.3,47.8,86.6,SBU,Nt,235,Location 2,Free Practice 2
28,1,102,124,36.698,46.196,58.8,206.9,1106.9,124,36.7,46.2,MNT,BMWl,235,Location 2,Free Practice 2
28,2,108,25.134,32.772,41.611,122.3,306.4,1206.4,25.1,32.8,41.6,MNT,BMWl,250,Location 2,Free Practice 2
28,3,69,25.42,33.683,42.495,119.8,408,1308,25.4,33.7,42.5,MNT,BMWl,235,Location 2,Free Practice 2
28,4,130,32.472,44.432,50.576,95.5,535.5,1435.5,32.5,44.4,50.6,MNT,BMWl,235,Location 2,Free Practice 2
28,5,99,25.844,33.574,62.3,99.9,657.3,1557.3,25.8,33.6,62.3,MNT,BMWl,235,Location 2,Free Practice 2
29,1,98,88.6,37.041,45.745,71,171.4,1071.4,88.6,37,45.7,AS,MAHINDRAd,235,Location 2,Free Practice 2
29,2,69,27.756,36.923,47.285,108.7,283.3,1183.3,27.8,36.9,47.3,AS,MAHINDRAd,235,Location 2,Free Practice 2
29,3,71,26.204,33.651,43.407,117.8,386.6,1286.6,26.2,33.7,43.4,AS,MAHINDRAd,235,Location 2,Free Practice 2
29,4,93,26.983,34.723,43.658,115.5,491.9,1391.9,27,34.7,43.7,AS,MAHINDRAd,235,Location 2,Free Practice 2
29,5,98,26.633,34.779,43.317,116.2,596.7,1496.7,26.6,34.8,43.3,AS,MAHINDRAd,235,Location 2,Free Practice 2
29,6,80,36.344,82.7,86.9,59.1,802.6,1702.6,36.3,82.7,86.9,AS,MAHINDRAd,235,Location 2,Free Practice 2
33,1,77,67,38.091,56.223,75.4,161.3,1061.3,67,38.1,56.2,RR,AR,235,Location 2,Free Practice 2
33,2,69,26.736,34.319,43.846,116,266.2,1166.2,26.7,34.3,43.8,RR,AR,235,Location 2,Free Practice 2
33,3,85,26.681,34.394,43.297,116.6,370.6,1270.6,26.7,34.4,43.3,RR,AR,235,Location 2,Free Practice 2
33,4,48,25.924,33.538,42.565,119.3,472.6,1372.6,25.9,33.5,42.6,RR,AR,235,Location 2,Free Practice 2
33,5,68,25.873,35.225,51.47,108.1,585.2,1485.2,25.9,35.2,51.5,RR,AR,235,Location 2,Free Practice 2
36,1,145,350.5,36.644,44.646,28.2,431.7,1331.7,350.5,36.6,44.6,ALOTTE,TAG ,235,Location 2,Free Practice 2
36,2,71,26.994,34.866,49.239,109.5,542.8,1442.8,27,34.9,49.2,ALOTTE,TAG ,235,Location 2,Free Practice 2
36,3,110,25.14,32.7,64.9,99.1,665.6,1565.6,25.1,32.7,64.9,ALOTTE,TAG ,250,Location 2,Free Practice 2
37,1,71,61.5,39.813,54.778,77.9,156.1,1056.1,61.5,39.8,54.8,N,EA,235,Location 2,Free Practice 2
37,2,93,25.202,32.676,42.164,121.6,256.2,1156.2,25.2,32.7,42.2,N,EA,235,Location 2,Free Practice 2
37,3,97,26.422,36.258,50.415,107.6,369.2,1269.2,26.4,36.3,50.4,N,EA,235,Location 2,Free Practice 2
4,1,105,63.3,39.207,55.895,76.8,158.4,1058.4,63.3,39.2,55.9,RFRI,EF,235,Location 2,Free Practice 2
4,2,77,25.889,44.821,45.447,104.8,274.5,1174.5,25.9,44.8,45.4,RFRI,EF,235,Location 2,Free Practice 2
4,3,72,25.712,33.65,46.719,114.7,380.6,1280.6,25.7,33.6,46.7,RFRI,EF,235,Location 2,Free Practice 2
4,4,89,276.4,83.2,87,27.3,827.1,1727.1,276.4,83.2,87,RFRI,EF,235,Location 2,Free Practice 2
48,1,68,72.4,38.509,54.387,73.6,165.3,1065.3,72.4,38.5,54.4,EMORT,ROKo,235,Location 2,Free Practice 2
48,2,81,27.004,36.045,44.677,113,273,1173,27,36,44.7,EMORT,ROKo,235,Location 2,Free Practice 2
48,3,69,26.513,35.573,44.018,114.7,379.1,1279.1,26.5,35.6,44,EMORT,ROKo,235,Location 2,Free Practice 2
48,4,115,26.337,34.743,43.282,116.6,483.4,1383.4,26.3,34.7,43.3,EMORT,ROKo,235,Location 2,Free Practice 2
48,5,93,29.036,40.546,51.842,100.2,604.9,1504.9,29,40.5,51.8,EMORT,ROKo,235,Location 2,Free Practice 2
48,6,112,49.813,82.6,86.9,55.5,824.2,1724.2,49.8,82.6,86.9,EMORT,ROKo,235,Location 2,Free Practice 2
5,1,114,54.776,42.41,55.797,79.5,153,1053,54.8,42.4,55.8,SVANDOO,Ml,235,Location 2,Free Practice 2
5,2,100,25.197,32.605,42.098,121.8,252.9,1152.9,25.2,32.6,42.1,SVANDOO,Ml,250,Location 2,Free Practice 2
5,3,84,34.31,39.865,51.36,96.9,378.4,1278.4,34.3,39.9,51.4,SVANDOO,Ml,235,Location 2,Free Practice 2
